X;Y;NAME;WILNAME;POP;FORMERBREE
35.82;40.648;Amaseia;0;10000;orbcities
27.24;37.08;Myndos;0;10000;orbcities
36.484;32.517;Bostra;Bosra;10000;orbcities
20.079;32.135;Euesperides;Berenice;10000;orbcities
8.742;36.564;Bulla Regia;Simitthus;10000;orbcities
22.442;38.902;Lamia;0;10000;orbcities
34.888;31.62;Eleutheropolis;0;10000;orbcities
37.152;36.219;Beroia;0;10000;orbcities
25.235;39.932;Hephaistia;0;10000;orbcities
30.547;36.52;Phaselis;0;10000;orbcities
8.459;35.573;Ammaedara;Ammaedara;10000;orbcities
6.262;35.489;Lambaesis;Lambaesis (viC);10000;orbcities
říj.92;33.68;Meninge;Meninx;10000;orbcities
35.502;38.721;Caesarea (Cappadocia);0;10000;orbcities
36.968;41.215;Themiskyra;0;10000;orbcities
16.621;47.234;Savaria;Savaria;10000;orbcities
23.318;38.321;Thebae;0;10000;orbcities
5.727;36.322;Cuicul;Cuicul;10000;orbcities
29.156;40.432;Prusias;0;10000;orbcities
10.čvc;34.67;Thaenae;Thaenae;10000;orbcities
25.333;36.717;Ios;0;10000;orbcities
-5.558;34.085;Volubilis;Volubilis;10000;orbcities
7.427677;36.4643305;Calama;0;10000;wilcities
22.718116;37.728203;Argos;0;10000;wilcities
6.1344055;35.7366345;Diana Veteran.;0;10000;wilcities
10.874928;35.6745935;Leptiminus;0;10000;wilcities
7.655351;36.193186;Thubursicu Num.;0;10000;wilcities
3.049726;36.766025;Icosium;0;10000;wilcities
10.172291;36.607458;Uthina;0;10000;wilcities
9.904448;36.40112;Thuburbo Maius;0;10000;wilcities
11.042848;35.622554;Thapsus;0;10000;wilcities
8.8174835;35.1675925;Cillium;0;10000;wilcities
2.440944;36.593951;Tipasa;0;10000;wilcities
10.061305;37.055611;Utica (88 ha);0;10000;wilcities
32.8877;34.6642;Kourion;0;10000;wilcities
10.675031;33.536125;Gigthis;0;10000;wilcities
8.831793;35.94384;Althiburos;0;10000;wilcities
8.933123;35.283657;Ksar el-Guell.;0;10000;wilcities
11.0400653;35.3947171;Sullecthum;0;10000;wilcities
33.632745;34.920211;Kition;0;10000;wilcities
1.310964;36.510044;Cartenna;0;10000;wilcities
13.431685;46.093107;Forum Julii;0;10000;wilcities
9.873108;37.276147;Hippo Diarr.;0;10000;wilcities
9.20696465;35.85385845;Mactaris;0;10000;wilcities
7.902716;36.077735;Madauros;0;10000;wilcities
31.419;41.282;Heraclea Pontica;Heraclea (Pontica);11700;orbcities
13.364;45.767;Aquileia;Aquileia;12000;orbcities
16.916;48.121;Carnuntum;Carnuntum;12000;orbcities
28.985;41.018;Constantinopolis;Byzantium;12000;orbcities
4.357;43.843;Nemausus;Nemausus;12000;orbcities
21.233;44.736;Viminacium;Viminacium;12500;orbcities
24.01869;35.515775;Kydonia;0;12750;wilcities
29.116;37.842;Laodicea ad Lycum;Laodiceia ad Lycum/Dispolis/Roas;13350;orbcities
29.784475;36.159001;Aphrodisias/Ninoe;0;13500;wilcities
27.37;36.69;Cnidus;Cnidus;13950;orbcities
32.875;24.983;Apollonopolis Magna;0;14000;orbcities
32.95;24.466;Omboi;0;14000;orbcities
32.652;25.701;Thebai;0;14000;orbcities
25.159;31.562;Catabathmus Maior;0;14000;orbcities
32.805;26.006;Coptos;0;14000;orbcities
32.567;31.043;Pelusium;0;14000;orbcities
31.187;27.183;Lykopolis;0;14000;orbcities
25.dub;31.92;Kardamis;0;14000;orbcities
23.45;32.17;Petras Mikros;0;14000;orbcities
27.225;31.356;Paraetonium;0;14000;orbcities
33.49;26.807;Klaudianon;0;14000;orbcities
25.544;29.205;Ammon;0;14000;orbcities
31.252;29.407;Aphroditopolis;0;14000;orbcities
31.295;30.124;Heliopolis;0;14000;orbcities
30.839;29.317;Krokodilopolis;0;14000;orbcities
28.855;28.338;Oasis Parva;0;14000;orbcities
25.zář;31.75;Petras Megas;0;14000;orbcities
27.276;37.531;Miletus;Miletus;14550;orbcities
27.525011;37.501842;Heraclea ad Latmum/Pleistarcheia;0;14850;wilcities
13.874;46.635;Santicum;0;15000;orbcities
14.484;40.748;Pompeii;0;15000;orbcities
13.771;45.648;Tergeste;0;15000;orbcities
16.097;38.675;Vibo Valentia;0;15000;orbcities
5.363;43.305;Massilia;Massilia;15000;orbcities
-0.586;44.856;Burdigala;Burdigala;15000;orbcities
9.156;45.185;Ticinum;0;15000;orbcities
10.bře;44.065;Luna;0;15000;orbcities
13.768;41.241;Minturnae;0;15000;orbcities
12.515;42.519;Narnia;0;15000;orbcities
12.407;45.542;Altinum;0;15000;orbcities
10.924;44.646;Mutina;0;15000;orbcities
12.055;45.054;Atria;0;15000;orbcities
8.256;50.007;Mogontiacum;Moguntiacum (Mainz);15000;orbcities
15.619;41.315;Herdoniae;0;15000;orbcities
13.605;41.255;Formiae;0;15000;orbcities
