X,Y,WHO,COLOR,HEADING,XCOR,YCOR,SHAPE,LABEL,LABELCOLOR,BREED,HIDDEN,SIZE,PENSIZE,PENMODE,NAME,WILNAME,POP,POPTYPE,FORMERBREE
9.128,35.257,877,9.9,54,-89.711918211225594,-31.87520135169168967,circle,,9.9,newsites,false,2.5819888974716112,1,up,Sufetula,Sufetula,10000,0,orbcities
34.898,32.508,878,9.9,27,185.427165749480338,-61.22550565157446556,circle,,9.9,newsites,false,7.0710678118654755,1,up,Caesarea Maritima,Caesarea Maritima,75000,0,orbcities
-3.523,50.723,879,9.9,128,-224.783107624764199,133.25095590621586439,circle,,9.9,newsites,false,2.1602468994692869,1,up,Isca,0,7000,0,orbcities
4.031,49.262,880,9.9,82,-144.131161942219705,117.65226744418283999,circle,,9.9,newsites,false,1.8257418583505538,1,up,Durocortorum,Remi,5000,0,orbcities
13.364,45.767,881,9.9,358,-44.485330719663679,80.33712974753299818,circle,,9.9,newsites,false,2.8284271247461903,1,up,Aquileia,Aquileia,12000,0,orbcities
24.735,42.146,882,9.9,347,76.919656618993145,41.67672528413693556,circle,,9.9,newsites,false,2.3094010767585029,1,up,Philippopolis,0,8000,0,orbcities
35.234,31.776,883,9.9,98,189.014543794136785,-69.04086496314751287,circle,,9.9,newsites,false,3.8297084310253524,1,up,Ierusalem,Jerusalem,22000,0,orbcities
21.74,38.26,884,9.9,145,44.942879107843957,0.18698992242549392,circle,,9.9,newsites,false,2.3094010767585029,1,up,Patrae,Patras,8000,0,orbcities
-0.592,53.687,885,9.9,15,-193.489640217359124,164.89675508586398678,circle,,9.9,newsites,false,2.1602468994692869,1,up,Petuaria,0,7000,0,orbcities
37.032,39.748,886,9.9,232,208.211287021197222,16.07394983447556314,circle,,9.9,newsites,false,2.5819888974716112,1,up,Sebasteia,0,10000,0,orbcities
5.363,43.305,887,9.9,241,-129.909770408045830,54.05104419412754169,circle,,9.9,newsites,false,3.1622776601683795,1,up,Massilia,Massilia,15000,0,orbcities
35.042,42.049,888,9.9,23,186.964613482904525,40.64108340814978959,circle,,9.9,newsites,false,2.5819888974716112,1,up,Sinope,0,10000,0,orbcities
34.15,36.46,889,9.9,157,177.440978911971257,-19.03110674537698088,circle,,9.9,newsites,false,2.5819888974716112,1,up,Corycus,0,10000,0,orbcities
27.59,37.19,890,9.9,285,107.401693278202117,-11.23710087454599993,circle,,9.9,newsites,false,1.8439088914585775,1,up,Bargylia,Iasos,5100,0,orbcities
5.394,36.192,891,9.9,262,-129.578792076544801,-21.89246780480536358,circle,,9.9,newsites,false,2.5819888974716112,1,up,Sitifis,Sitifis,10000,0,orbcities
-4.024,39.857,892,9.9,59,-230.132144530635912,17.23771235491473064,circle,,9.9,newsites,false,2.3094010767585029,1,up,Toletum,0,8000,0,orbcities
